Order ID,Order Date,Ship Date,DateKey,CustomerKey,ProductKey,GeoKey,Sales,Profit,Quantity,Discount,Shipping Cost,Payment Mode
ORD-100001,2023-10-28,2023-10-30,20231028,715,16,11,403.08,81.56,1,0.0,20.35,Debit Card
ORD-100002,2024-07-23,2024-07-29,20240723,357,31,4,276.92,40.81,1,0.1,17.9,UPI
ORD-100003,2023-08-06,2023-08-09,20230806,162,8,2,490.93,109.51,4,0.05,23.76,Debit Card
ORD-100004,2024-10-24,2024-10-29,20241024,159,17,25,231.97,40.01,2,0.2,18.23,Online
ORD-100005,2022-03-28,2022-03-30,20220328,211,23,35,11.92,1.11,2,0.05,13.19,Debit Card
ORD-100006,2023-12-27,2023-12-31,20231227,9,9,8,2366.23,363.61,2,0.05,42.81,Online
ORD-100007,2023-01-06,2023-01-09,20230106,5,3,7,8154.49,2023.92,6,0.0,42.0,UPI
ORD-100008,2022-02-01,2022-02-05,20220201,91,1,39,249.16,64.34,1,0.0,15.49,Debit Card
ORD-100009,2022-09-13,2022-09-17,20220913,142,31,8,255.29,26.42,1,0.2,19.34,Debit Card
ORD-100010,2022-03-03,2022-03-09,20220303,94,29,19,783.84,179.14,1,0.0,25.65,Online
ORD-100011,2024-06-22,2024-06-25,20240622,433,18,7,120.7,31.15,1,0.0,14.45,Credit Card
ORD-100012,2022-12-14,2022-12-18,20221214,634,29,40,2303.66,542.32,3,0.0,30.16,Cash
ORD-100013,2022-09-08,2022-09-10,20220908,548,13,17,125.14,24.65,2,0.25,18.95,Debit Card
ORD-100014,2023-03-09,2023-03-14,20230309,92,30,26,870.84,242.98,3,0.0,27.33,Debit Card
ORD-100015,2023-12-08,2023-12-11,20231208,140,25,10,52.57,8.59,2,0.25,14.51,Debit Card
ORD-100016,2022-02-20,2022-02-25,20220220,484,29,18,668.25,124.82,1,0.1,25.24,Online
ORD-100017,2024-03-29,2024-03-30,20240329,361,31,29,288.08,48.65,1,0.05,17.4,Credit Card
ORD-100018,2024-02-17,2024-02-20,20240217,269,12,14,746.72,113.12,2,0.1,18.15,Debit Card
ORD-100019,2024-07-22,2024-07-24,20240722,633,11,25,153.0,50.1,3,0.05,14.22,UPI
ORD-100020,2022-12-11,2022-12-15,20221211,380,20,27,5.8,-0.81,1,0.1,9.6,Debit Card
ORD-100021,2023-10-23,2023-10-26,20231023,285,28,5,12.44,0.89,1,0.0,10.95,Online
ORD-100022,2023-12-02,2023-12-06,20231202,612,10,1,94.44,34.82,3,0.0,13.83,Online
ORD-100023,2023-05-31,2023-06-04,20230531,506,4,23,175.04,39.78,1,0.1,16.38,Credit Card
ORD-100024,2024-11-08,2024-11-12,20241108,444,30,30,682.3,150.45,3,0.15,18.5,Credit Card
ORD-100025,2024-03-07,2024-03-08,20240307,635,9,38,983.58,-41.36,1,0.25,46.98,Credit Card
ORD-100026,2022-01-17,2022-01-23,20220117,400,30,20,513.49,121.72,2,0.1,19.01,Credit Card
ORD-100027,2023-08-21,2023-08-25,20230821,504,9,17,2645.43,463.77,2,0.0,35.46,Debit Card
ORD-100028,2024-05-21,2024-05-24,20240521,796,1,38,785.74,147.91,4,0.2,26.4,Credit Card
ORD-100029,2024-05-27,2024-05-29,20240527,772,22,15,34.46,5.76,3,0.15,18.99,Credit Card
ORD-100030,2023-04-06,2023-04-11,20230406,185,29,25,701.27,157.7,1,0.0,30.31,Credit Card
ORD-100031,2023-12-04,2023-12-07,20231204,460,23,9,4.61,-2.64,1,0.2,13.07,Debit Card
ORD-100032,2022-10-22,2022-10-24,20221022,360,7,18,390.14,105.57,1,0.15,21.62,Cash
ORD-100033,2022-09-21,2022-09-25,20220921,751,12,25,2162.44,379.15,5,0.05,28.83,Online
ORD-100034,2024-05-06,2024-05-08,20240506,675,6,2,1648.59,283.52,2,0.1,37.8,Online
ORD-100035,2023-03-17,2023-03-20,20230317,690,12,14,825.45,140.18,2,0.05,24.01,Credit Card
ORD-100036,2024-06-11,2024-06-13,20240611,396,22,39,12.23,1.91,1,0.0,9.23,Credit Card
ORD-100037,2024-09-10,2024-09-16,20240910,420,2,24,2843.11,897.0,5,0.0,36.55,Debit Card
ORD-100038,2022-10-03,2022-10-09,20221003,360,30,37,550.7,154.08,2,0.0,16.08,Debit Card
ORD-100039,2023-10-25,2023-10-29,20231025,510,9,27,1233.69,208.3,1,0.0,39.32,Online
ORD-100040,2023-03-31,2023-04-05,20230331,818,14,1,204.57,89.31,8,0.0,37.06,Debit Card
ORD-100041,2022-08-20,2022-08-24,20220820,527,9,25,1232.0,186.02,1,0.05,31.71,Credit Card
ORD-100042,2024-07-27,2024-08-01,20240727,225,20,40,6.12,-0.26,1,0.05,8.79,Credit Card
ORD-100043,2022-05-02,2022-05-06,20220502,268,31,31,261.76,44.87,1,0.05,13.9,Online
ORD-100044,2023-06-17,2023-06-20,20230617,20,20,35,12.55,0.68,2,0.1,13.83,Debit Card
ORD-100045,2022-07-13,2022-07-17,20220713,116,20,34,6.35,-0.83,1,0.05,10.72,Online
ORD-100046,2023-09-03,2023-09-07,20230903,540,24,32,29.92,8.54,3,0.0,13.21,Credit Card
ORD-100047,2022-03-22,2022-03-24,20220322,765,21,28,15.62,2.67,1,0.0,10.23,Credit Card
ORD-100048,2023-04-11,2023-04-13,20230411,752,13,23,452.66,151.53,5,0.0,19.72,Debit Card
ORD-100049,2023-08-22,2023-08-26,20230822,407,5,6,498.59,126.82,3,0.0,22.27,Debit Card
ORD-100050,2023-10-31,2023-11-01,20231031,733,15,26,510.27,128.92,8,0.15,25.29,Online
ORD-100051,2024-09-14,2024-09-18,20240914,746,32,23,35.75,8.25,1,0.15,11.15,Online
ORD-100052,2022-06-03,2022-06-09,20220603,287,8,21,228.87,48.67,2,0.05,17.87,Debit Card
ORD-100053,2024-06-20,2024-06-23,20240620,205,3,21,1190.68,214.75,1,0.15,32.79,Online
ORD-100054,2023-12-14,2023-12-15,20231214,50,23,13,4.93,-2.66,1,0.15,13.8,Debit Card
ORD-100055,2022-04-20,2022-04-23,20220420,517,21,35,27.79,4.94,2,0.05,16.06,Debit Card
ORD-100056,2023-03-17,2023-03-23,20230317,624,14,15,26.97,8.9,1,0.0,13.11,Credit Card
ORD-100057,2023-06-12,2023-06-16,20230612,468,6,28,849.32,141.63,1,0.1,32.13,Credit Card
